label,path
108,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/233151.wav
45,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/114230.wav
65,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/70932.wav
26,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/237337.wav
96,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/373561.wav
51,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/18324.wav
10,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/377707.wav
120,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/1736.wav
165,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/55224.wav
51,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/327130.wav
139,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/167553.wav
143,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/32254.wav
96,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/53866.wav
133,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/84680.wav
96,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/415440.wav
116,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/389426.wav
186,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/79043.wav
22,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/165422.wav
22,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/205408.wav
154,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/341538.wav
22,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/22721.wav
107,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/263955.wav
96,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/415454.wav
32,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/92948.wav
52,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/405647.wav
63,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/413025.wav
107,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/79057.wav
112,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/261830.wav
139,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/167547.wav
104,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/138043.wav
93,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/388062.wav
76,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/236798.wav
192,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/162417.wav
71,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/67527.wav
173,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/325928.wav
165,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/320688.wav
107,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/116396.wav
108,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/233186.wav
32,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/92960.wav
51,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/220844.wav
96,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/415468.wav
67,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/199869.wav
17,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/268828.wav
17,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/186949.wav
136,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/398503.wav
108,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/166103.wav
101,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/12812.wav
114,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/22709.wav
30,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/428931.wav
137,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/346519.wav
192,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/409727.wav
48,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/52588.wav
173,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/321582.wav
141,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/258055.wav
51,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/208662.wav
120,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/239130.wav
34,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/339642.wav
134,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/273987.wav
10,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/433646.wav
66,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/230114.wav
22,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/162832.wav
41,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/188233.wav
22,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/162826.wav
104,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/336203.wav
34,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/339656.wav
174,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/185065.wav
188,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/320307.wav
41,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/269713.wav
173,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/16651.wav
98,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/240381.wav
17,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/322510.wav
101,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/369049.wav
63,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/429144.wav
93,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/180135.wav
173,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/323626.wav
98,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/231550.wav
48,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/38584.wav
71,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/113749.wav
28,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/352961.wav
47,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/135956.wav
143,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/238574.wav
186,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/233421.wav
174,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/378622.wav
159,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/156573.wav
17,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/182050.wav
192,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/71190.wav
154,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/335736.wav
50,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/333421.wav
114,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/32903.wav
174,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/99438.wav
189,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/168304.wav
192,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/182905.wav
189,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/193808.wav
73,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/427196.wav
64,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/386271.wav
173,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/335905.wav
112,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/96086.wav
104,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/232918.wav
173,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/212404.wav
112,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/96092.wav
17,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/177556.wav
114,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/91925.wav
64,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/386265.wav
66,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/373944.wav
73,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/76600.wav
43,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/390361.wav
192,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/182911.wav
161,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/34355.wav
10,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/414560.wav
186,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/398715.wav
120,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/68370.wav
134,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/166315.wav
161,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/171669.wav
64,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/386259.wav
154,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/191951.wav
66,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/226945.wav
141,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/201322.wav
108,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/418428.wav
112,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/169754.wav
133,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/106393.wav
108,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/321958.wav
10,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/414574.wav
41,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/388512.wav
159,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/398701.wav
107,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/239044.wav
108,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/103412.wav
47,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/375528.wav
154,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/211910.wav
48,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/341855.wav
87,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/222302.wav
178,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/107112.wav
67,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/151354.wav
44,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/90540.wav
30,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/324767.wav
30,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/216919.wav
50,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/197273.wav
140,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/232663.wav
161,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/262054.wav
85,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/242384.wav
73,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/330706.wav
44,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/90554.wav
22,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/160823.wav
134,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/336411.wav
87,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/222316.wav
71,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/181377.wav
25,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/50770.wav
98,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/327534.wav
41,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/233233.wav
44,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/382822.wav
51,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/214854.wav
136,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/51446.wav
71,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/268551.wav
165,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/387782.wav
47,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/375514.wav
43,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/180041.wav
76,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/50758.wav
30,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/238400.wav
133,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/391686.wav
101,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/11704.wav
133,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/338372.wav
115,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/55152.wav
114,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/213691.wav
44,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/90568.wav
48,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/365075.wav
154,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/57023.wav
120,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/275272.wav
165,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/382836.wav
43,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/87799.wav
51,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/13852.wav
174,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/131305.wav
120,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/275299.wav
107,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/276948.wav
43,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/187909.wav
108,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/403154.wav
141,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/274839.wav
116,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/408767.wav
178,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/367689.wav
67,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/418574.wav
52,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/244736.wav
133,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/394715.wav
140,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/138335.wav
140,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/266597.wav
22,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/163331.wav
165,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/387769.wav
51,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/13846.wav
41,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/71755.wav
73,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/44936.wav
188,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/320298.wav
159,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/406776.wav
45,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/395423.wav
161,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/45396.wav
116,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/422818.wav
46,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/399219.wav
73,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/251475.wav
73,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/31417.wav
51,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/201256.wav
134,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/406762.wav
85,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/126889.wav
17,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/245372.wav
85,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/268586.wav
101,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/398675.wav
25,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/71741.wav
189,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/236613.wav
32,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/18278.wav
47,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/16255.wav
186,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/329041.wav
101,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/326414.wav
93,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/97993.wav
108,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/360455.wav
22,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/108751.wav
25,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/157255.wav
118,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/35498.wav
95,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/346492.wav
120,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/376579.wav
25,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/131846.wav
10,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/377667.wav
46,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/196347.wav
22,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/113359.wav
154,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/322128.wav
165,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/375716.wav
65,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/237257.wav
63,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/152305.wav
120,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/145679.wav
116,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/189501.wav
43,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/149043.wav
114,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/98444.wav
76,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/361763.wav
140,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/273401.wav
186,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/22866.wav
140,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/97763.wav
52,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/371564.wav
85,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/379138.wav
63,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/414819.wav
137,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/375702.wav
50,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/228363.wav
47,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/270108.wav
46,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/196353.wav
43,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/51136.wav
189,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/100457.wav
10,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/377673.wav
26,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/280204.wav
112,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/202575.wav
52,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/368960.wav
120,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/376586.wav
45,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/70113.wav
93,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/143591.wav
87,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/413623.wav
7,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/260496.wav
120,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/145686.wav
65,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/418010.wav
85,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/88870.wav
47,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/147085.wav
43,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/157296.wav
104,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/156188.wav
48,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/83931.wav
71,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/216272.wav
104,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/389220.wav
174,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/66765.wav
140,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/273398.wav
136,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/204110.wav
189,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/19199.wav
32,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/18287.wav
133,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/387225.wav
26,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/184958.wav
120,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/255377.wav
73,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/419332.wav
48,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/400663.wav
137,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/414616.wav
159,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/190087.wav
73,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/419326.wav
188,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/167369.wav
76,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/88680.wav
44,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/90971.wav
32,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/351111.wav
173,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/132340.wav
114,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/315753.wav
85,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/88859.wav
73,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/192691.wav
76,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/88681.wav
47,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/106782.wav
73,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/419327.wav
159,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/190086.wav
43,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/201733.wav
51,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/211246.wav
32,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/18292.wav
115,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/67446.wav
32,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/351110.wav
154,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/327086.wav
44,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/90970.wav
30,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/366970.wav
174,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/202548.wav
154,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/47782.wav
186,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/190092.wav
137,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/414617.wav
7,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/88695.wav
114,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/396467.wav
71,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/216273.wav
192,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/27738.wav
7,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/171536.wav
137,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/96483.wav
154,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/340747.wav
118,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/73369.wav
7,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/331800.wav
140,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/273399.wav
34,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/20731.wav
192,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/68749.wav
136,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/125601.wav
64,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/104817.wav
25,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/403431.wav
120,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/47966.wav
87,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/413622.wav
45,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/70112.wav
93,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/143590.wav
67,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/26354.wav
45,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/366794.wav
120,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/376587.wav
192,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/280205.wav
173,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/418011.wav
85,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/88871.wav
104,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/408202.wav
136,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/164649.wav
174,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/404438.wav
51,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/79136.wav
143,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/30250.wav
107,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/256870.wav
63,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/152310.wav
137,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/422372.wav
51,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/365510.wav
137,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/375703.wav
67,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/22867.wav
140,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/273400.wav
10,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/377672.wav
25,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/131853.wav
118,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/254901.wav
67,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/323223.wav
